Sentence,Label Integer,Label
 حدودا دو ماهي ميشه خريدم خيلي عاليه من قبلا هارد هاي ديگري رو امتحان کردم از جمله Western Digital سري My passport و هارد ضد ضربه silicon power Armor A80 واقعا ميتونم بگم از همشون بهتره هم از لحاظ سرعت و هم از لحاظ کيفيت ساخت .,2,Positive
حساسیت سنسور نیز تا 3200 بالا می‌رود که خیلی خوب است.,2,Positive
2 سيم همزمان و اندرويد 4.1.2 با امکانات عالي واقعا خوشم اومد .,2,Positive
اندودی که سامسونگ بر روی شیشه‌ی نمایشگر به کار برده وظیفه‌ی خود را به خوبی انجام می‌دهد.,1,Positive
پس مطمئننا مي شه 3G رو هم به همين روش و به راحتي روش داشت.,1,Positive
از جمله آن‌ها می‌توان Google Chrome،  ES File Explorer،  Gmail،  Google Plus،  ID Gard،  Maps،  Movie Studio،  آنتی ویروس Norton Security،  Sound Recorder،  ، TegraZone،  ThinkFree Office و Youtube را نام برد که به همراه آن‌ها ویجت های کاربردی زیادی نیز برای استفاده کاربر وجود دارد.,1,Positive
مثل اينکه رم هم نمي خوره و مجبورن مشتري ها که  نسخه ي 64GB رو بخرن!,-1,Negative
از موارد برتري P7700 به G1X ميتواند زوم اپتيکال بالاتر (7.1) نسبت به (4) در کنون باشد،  که اين امر نيکون را جلو ميبرد.,1,Positive
"نقد کالا:

1-اساسي ترين مشکل اين دوربين وجود باتري قلمي به جاي باتري يون ليتيوم استاندارد هست.",-2,Negative
اما يه اشکال بزرگ داره که نميشه اون رو جلبريک (کپي خور) کرد چون ios6 هستش.,-1,Negative
پاسخگویی عمومی گوشی واقعا مثال زدنی ست.,1,Positive
"- امکانات بسيار عالي itunes , icloud , imesaage .",2,Positive
اما اين مشکلش خيلي بده.,-2,Negative
در اين نقد و بررسي مي خواهيم با هم نگاهي تخصصي تر و البته واقع بينانه تر به xbox 360 بياندازيم و با بررسي معايب و مزايايي که در xbox 360 نهفته است گامي استوار تر براي خريد آن برداريم يا اگر صاحب يک xbox 360 هستيم به xbox خود افتخار کنيم.,1,Positive
صفحه ي لمسي بزرگ XR550 با رزولوشن بالاست و کارايي خوبي دارد و نسبتا در نور خورشيد قابل ديدن است.,1,Positive
بخصوص اينکه U3 هم ساپورت ميکنه.,1,Positive
من آيفون 4 داشتم 3 4 روزي ميشه که يه آيفون 5 گرفتم ميتونم بگم تاچش فوق العاده هست دوربينش هم عالي شده گفته 8 مگا پيکسل اما با دوربيناي 12 مگاپيکسلي مقايسه کنين اون موقع ميفهمين که دوربين 8 اپل به خيلي دوربيناي ديگه مي ارزه نکته ي بعدي ديگه هم اينه که بسيار بسيار سريع شده,2,Positive
بعنوان يه دوربين با قابليتهاي متفاوت بنظر من عاليه قيمتشم بنظرم خوبه داراي کيفيت عالي در عکاسيه لنز هاش خيلي پر قدرتن و 16 مگا پيکسلش واقعيه پيشنهادش مي کنم,2,Positive
دوستان توجه کنيد معماري پردازشگر A5 هست که ضعيف هست و شخصا تو اين گوشي يک بازي با حجم 40 مگ رو با اندکي لگ اجرا کردم.,-1,Negative
من اين گوشي رو چند روزي ميشه خريداري کردم فوق العادست .,2,Positive
محشره,2,Positive
شفافیت صدا بسیار خوب بوده و بلندی صدا نیز مناسب است.,2,Positive
ضمنا،  با امکان نصب برنامه های مختلف مانند Adobe Reader،  می توان فایل های متنی و PDF را نیز به راحتی بر روی این تبلت اجرا نمود.,1,Positive
برای مثال مدل X53SV که دارای صفحه نمایش 15.6 اینچی بوده و از پردازنده‌ی دو هسته ای Intel Core i5 و کارت گرافیک NVIDIA GeForce GT 540M بهره می‌برد،  در تست مرورگری اینترنت از طریق Wi-Fi با روشنایی متوسط صفحه نمایش،  توانست بیش از 4 ساعت و 15 دقیقه شارژدهی کند که میزان نسبتا خوبیست.,1,Positive
با اینکه قدرت این گوشی به اندازه برادران بزرگ‌تر خود یعنی لومیا 920 و 820 نیست،  اما به راحتی از پس اجرای اکثر دستورات بر می‌آید.,1,Positive
کيفيت عاليه,2,Positive
اما قابلیت اجرای همزمان دو برنامه در این تبلت به بهترین شکل به اجرا در آمده است.,1,Positive
عاليه!,2,Positive
وزن این دستگاه تنها 2.3 کیلوگرم است که برای یک لپ‌تاپ 15.6 اینچی،  وزن بسیار مناسبی محسوب می‌شود.,2,Positive
در کل من از اين دستگاه بسيار راضي هستم.,2,Positive
بسيار پر‌سرعت و خوش‌دست هم هست.,2,Positive
از لحاظ پرفرمنس و سرعت و دماي کاري سيگيت بهتره.,1,Positive
سامسونگ تعداد زیادی برنامه کاربردی به طور پیش فرض بر روی این تبلت قرار داده است که برای مثال می‌توان به فایل منیجر،  برنامه حرفه ای تدوین عکس و ویدئو،  دفترچه یادداشت و آفیس اشاره کرد.,1,Positive
اگر جزو کسانی هستید که با گوشی خود زیاد ویدئو نگاه می‌کنید،  HTC One X Plus یکی از بهترین انتخاب‌ها برای شماست.,1,Positive
در کل،  با دیدن iPhone 5 محو کیفیت و زیبایی آن خواهید شد.,1,Positive
دوربينش هم که فوق العادست.,2,Positive
در مورد کيفيت اسکن و پرينت و کپي مي تونين خودتون تغييرش بدين و در کل عاليه!,2,Positive
سيستم عاملي که واقعا کار باهاش لذت بخش است.,1,Positive
ویدئو پلیر این تبلت نیز از ظاهر بسیار خوبی برخوردار است ولی متاسفانه این تبلت،  همانند اکثر تبلت هایی که از پردازنده Tegra 2 استفاده میکنند،  نمیتواند ویدئوهای Full HD را روان پخش کند.,-1,Negative
البته متاسفانه این مرورگر به طور پیش فرض از فلش پلیر پشتیبانی نمی‌کند و در صورت نیاز باید آن‌را جداگانه نصب نمود.,-1,Negative
من که 100% از اين کوچولوي شگفت انگيز راضي هستم.,2,Positive
واقعا محشره,2,Positive
• باتری گوشی پدفون از یک باتری 1520 میلی آمپر-ساعتی بهره می‌برد که در کارکرد عادی،  به راحتی تا یک روز شارژدهی می‌کند.,1,Positive
"به نظرم با اين امکانات به صرفه نيست

",-1,Negative
"من از جاي ديگه اي خريدم ولي الان که مي بينم ديجي کالا هم داره خيلي پشيمونم چون خيلي ارزونتر داره ميفروشه 

کارايي اش هم خيلي بالاست",-1,Negative
من روي همين xperia ray که بعضي از دوستان گفتن موقع بازي گير ميکنه و رمش پايينه بازي هاي:modern combat NFS MostWanted2012 و بسياري از بازي هاي ديگه رو بدون لگ اجرا کردم.,1,Positive
سخت افزار در قلب این گوشی چیپ NVIDIA Tegra 3 AP37 قرار دارد که یک نسل از چیپ مدل One X جدید تر است و به کمک پردازنده چهار هسته ای 1.7 گیگا هرتزی و یک گیگابایت حافظه RAM،  قدرت پردازشی بی نظیر گوشی را تضمین می‌کند.,1,Positive
من الان نوت1دارم و از فتوشاپش لذت ميبرم و ميتونم بگم بهترين فتوشاپ هاي دنيا روي نوت1 و 2 ريخته شده و بي رقيبه نوت ها يه قلم به نام spen دارن که کار باهاش مثله رويا ميمونه و هرکي داره واقعا يه نعمته و قدرشو بدونه و حتما بايد باهاش کار کرده باشين تا اون حس رو کنين از لحاظ قيافه که ميدونين ايفون رقيب نداره.,1,Positive
- به هرحال،  اگه يه گوشي دو سيمکارته با آندرويد به روز و سخت افزار قدرتمند،  به همراه دوربين نسبتاً عالي و صفحه نمايش بزرگ ميخواهيد و از باتري توقع بالايي نداريد و درضمن وزن و ضخامتش رو به مزاياش مي بخشيد،  HTC Desire SV را جزء برترين انتخاب هاي خود بدانيد.,1,Positive
به همین دلیل می‌توان گفت که این تبلت بسیار مناسب علاقه‌مندان به موسیقی است.,2,Positive
• سخت افزار پردازنده یک گیگا هرتزی که در این گوشی به کار رفته،  سبب جلب رضایت کامل کاربر در هنگام کار با گوشی،  استفاده از برنامه های مختلف و یا گشت زنی در اینترنت گشته است.,1,Positive
لپ تاپي در حد انتظار از يک لپ تاپ ارزان قيمت خيلي خوبه .,1,Positive
همچنین تنوع مود بسیار خوبی برای انتخاب مود های مختلف عکاسی وجود دارد تا با آن‌ها بتوان عکس‌هایی با افکت‌های مختلف را ثبت نمود.,2,Positive
بدون شک Desire V و برادر آن یعنی HTC Desire SV جزو بهترین گوشی‌های دو سیم کارته موجود در بازار هستند زیرا سایر آن‌ها اکثرا بسیار ساده و ابتدایی هستند.,1,Positive
سلام به همه دوستان اپل باز من از ايفون 2g تا ايفون 5 را گرفتم از تمام انها هم راضي هستم،  بنظر من ايفون 5 را که تهيه ميکنيد ديگر به لپ تاپ هم نياز پيدا نميکنيد.,1,Positive
ps3 واقعا فوق العاده اس.,2,Positive
سونی از اینترفیس خود بر روی آن استفاده کرده و نمی‌دانیم چرا این قدر سعی داشته که آن را به اندروید نسخه‌ی نان زنجبیلی شبیه کند!,-1,Negative
اگر به دنبال لپ ‌تاپی زیبا،  خوش ساخت و با قیمتی مناسب هستید،  مطمئنا لپ‌تاپ‌های سری 3 کمپانی سامسونگ،  جزو بهترین انتخاب‌های شما خواهند بود.,2,Positive
ضمن اینکه برای این تبلت امکان تهیه داک کیبورد به صورت جداگانه نیز وجود دارد که این نیز یک مزیت دیگر این دستگاه به شمار می‌آید.,1,Positive
حتی در زیر نور آفتاب هم تصویر کاملاً واضح می‌باشد.,2,Positive
هم 3 کارست هم قيمتش با توجه با کاراييش خيلي مناسبه هم اندازه اش متناسبه و هم شيک و زيباست.,2,Positive
جمع بندی یکی از معایب گوشی‌های ویندوز فون 8 نوکیا یعنی لومیا 920 و 820،  قیمت بالای آن‌ها بود که امکان خریدشان را از بسیاری از کاربران سلب نموده بود.,-1,Negative
من دو ماهي هست خريدمش بسيار لپ تاپ خوبيه و نه داغ ميکنه و نه هيچ مشکلي داره و گرافيک و سي پي يوشم بسيار جديد و قدرتمند هست و در نوع خودش خيلي زيبا و کارآمد هست تا وقتي باهاش کار نکني نميدوني چقدر خوش ساخت و با کيفيت و قدرتمند هست,2,Positive
ZS6 از هر نظر یک کامپکت کاملا معمولی است.,-1,Negative
با هر مرتبه شارژ باتری قادر خواهید بود تا بیش از 10 ساعت به صورت ممتد با آن مکالمه انجام دهید.,1,Positive
اگه از اين 2 مورد چشم پوشي کنيم بايد گفت گوشي فوق العاده عالي هست!,2,Positive
نمایشگر 3 اینچی 920000 پیکسلی آن دارای یک تک لولا در قسمت سمت چپ است و کاملا به هر سویی توانایی چرخش را دارد.,1,Positive
• ورودی‌ها و خروجی‌ها از لحاظ پورت‌ها،  4540s بسیار کامل است.,2,Positive
دستگاه بسيار عالي است در ميان رقبا شکي نيست!,2,Positive
از اصلاح کردن قيمت ممنونم.,1,Positive
جزئیات خوب بوده ولی رنگ‌ها کمی مرده هستند ولی در مجموع دوربین ray کیفیت قابل قبولی را ارائه می‌دهد.,1,Positive
زاویه دید صفحه One X Plus نیز بسیار بالاست بطوریکه می‌توان گفت حتی از زاویه دید 178 درجه‌ای،  هیچ‌گونه کاهش کیفیتی را مشاهده نخواهیم کرد.,1,Positive
اما اگر بزرگی این گوشی یک نکته منفی برای شما محسوب نمی‌گردد باید بگوییم که سبکی و باریکی آن بسیار کاربردی و خوش‌آیند است.,1,Positive
وقتی دوربین بر روی این مود است،  کافی است که آن را به سوی سوژه نشانه بروید و دکمه‌ی شاتر را بفشارید تا تنظیمات بر روی بهترین حالت قرار گیرند و با کیفیت‌ترین عکس گرفته شود.,2,Positive
رزلوشن این صفحه نمایش 1280x800 بوده که تراکم پیکسلی بسیار بالایی را ارائه میدهد و خواندن متون بر روی آن بسیار راحت و لذت بخش است.,2,Positive
اما یک ویژگی بسیار خوب که بین آن‌ها مشترک می‌باشد،  گیرنده‌ی داخلی GPS است.,2,Positive
Asha 302 با طراحی زیبای خود،  بسیاری از کاستی‌های خود را پوشش داده است.,1,Positive
البته با توجه به تراکم پیکسلی نسبتا پایین صفحه نمایش شاید برای خواندن متن‌های بسیار ریز مقداری دچار دشواری شوید که با کمی زوم قابل حل خواهد بود.,1,Positive
"روح ارتباطي آيفون فايو با يک عدد سيم کارت رايتل معني ميشه

در ضمن اگر تمام قابليت هاي بي نظير سخت افزاري آيفون رو در نظر نگيريم ،  سيستم عامل اپل هيچ حرفي براي گفتن نميذاره و به هيچ وسيله هوشمند و قابل حمل ديگه اي ،  اجازه عرض اندام نميده

در کل واقعا عاليه

مطمئنا اگر کسي فقط يک بار ،  يکي از محصولات اپل ،  بخصوص ايفون رو خريداري و تجربه کنه ،  ديگه هيچ وقت سراغ هيچ برند و مدل ديگه اي نخواهد رفت .",2,Positive
سامسونگ با اين روند يکه تاز عرصه ديجيتال خواهد شد,1,Positive
در حقیقت خود این دوربین دارای Wi-Fi نیست ولی از طریق NFC می‌تواند با Wi-Fi دستگاه‌های سازگار کار کند.,1,Positive
رابط کاربری دوربین نیز بسیار ساده و کاربردی است.,2,Positive
برای اینکه لرزش دست شما بر روی سنسور تصویر ثبت نشود این دوربین مجهز به لرزش گیر تصویر مکانیکی می‌باشد.,1,Positive
مشکل اين دوربين ها باتري هاي آنهاست .,-1,Negative
من حدود يک ساله دارمش و واقعاً ازش راضي هستم.,1,Positive
ولي اکسپريا ري هم صفحه نمايش با کيفيتي داره هم چگالي تصوير خوبي داره و تصاوير واضحي رو ارائه ميده و هم پردازنده و چيپست گرافيکي بسيار خوبي داره.,2,Positive
حرف نداره .,2,Positive
اولا: تصوير برداري با ان بسيار سخت ميباشد به دليل نداشتن دکمه تله وايد روي دستگاه و سفت بودن رينگ زوم روي لنز اورجينال که چرخاندن ان و تله وايد کردن باعث تکان خوردن دوربين شده و تصوير را خراب ميکند و در ضمن صداي ان هم درتصوير ضبط ميشود.,-2,Negative
برتری اصلی این پنل نسبت به پنل های TN در کیفیت رنگ‌های عالی و زوایای دید بسیار بالای آن است.,2,Positive
دوم اینکه در صورت به زمین خوردن دستگاه، احتمالا لنز دوربین آن خواهد شکست که این یک اشتباه غیر قابل جبران است.,-1,Negative
از نظر من باتري اکسپريا ري در حد ميانگين و شايد کمي رو به بالا کاربرد خوبي دارد.,1,Positive
در ابتدا بابت این باتری کاملا نا امید شدیم،  اما بعد از تست‌های انجام شده شاهد بودیم که این تبلت قادر بود تا 8 ساعت ممتد ویدئو پخش نماید که برای تبلت های 10 اینچی کاملا نرمال است.,1,Positive
از همه نظر عاليه.,2,Positive
همچنین توسط بسیاری از موسسات و نشریات معتبر به عنوان برترین دوربین ورزشی موجود انتخاب و تحسین شده است.,1,Positive
دسترسی نسبتا ساده ای است و در ضمن این تنها کارتریج این دستگاه می‌باشد که توانایی پشتیبانی از چاپ 1600 صفحه پیش از تعویض را هم دارد.,1,Positive
من خريدمش!,1,Positive
اگر اين دوربين رو با يه لنز وايد بخريد عاليه .,1,Positive
علاوه بر اینکه از طراحی زیبا و آرگونومیک بهره می‌برد،  مجهز به پردازنده‌ها‌ی Corei شرکت اینتل و کارت گرافیکی Nvidia GeForce 630M شده است و در کل،  کانفیگ‌ها‌ی قدرتمندی دارد.,2,Positive
من حدود هفت ماهي هست که اين هاردو از ديجي کالا تهيه کردم وتا الان بدون هيچ عيب و نقصي برام کار کرده.,1,Positive
کيفيت ساخت خوب Asus با همکاري Google2.,1,Positive
عکاسي و فيلم برداريش هم خوبه.,1,Positive
"به نظر من اين بهترين هارد موجود است

البته 3 سال گارانتيش خيلي عاليه اما مهمتر اينه که اين هارد خيلي خوب از اطلاعات شما محافظت ميکنه نسبت به هاردهاي ديگر

ولي همانطور که دوستان ديگر اشاره کردند پورت اتصال کابل نسبت به خود کابل کمي ضعيف است",2,Positive
به طوری که می‌توان گفت در این زمینه،  اکنون بی رقیب به نظر می‌رسد.,1,Positive
اگر بخوام اين هارد رو با محصولات و برندهاي ديگه مقايسه کنم بدون شک اين محصول رو در رده اول قرار ميدم.,1,Positive
"مستحکم و بي نظيري هست

با ايجاد يک اکانت اپل به راحتي ميشه از بيشتر امکانات دستگاههاي اپل استفاده کرد

بعضي از امکانات مانند pass book اصلا در ايران کارايي ندارند و اين ربطي به اپل ندارد

از زمان ارائه ios 6 اپل تحريم ها بر عليه ايران را برداشته در حالي که ديگر کمپاني ها مانند گوگل يا مايکروسافت ايران را از ليست تحريم خود حذف نکرده اند

البته قيمت آيفون و s3 اصلا در خارج از ايران هم قابل مقايسه نيستن و گالاکسي نوت 2 هم کمي از آيفون 5 16 گيگ قيمت پايين تري دارد",1,Positive
کيفيت چاپش خوبه.,1,Positive
از بابت آنتن دهي خوبه اجراي برنامه خوبه .,1,Positive
ميشه اينو خريد و تمام برنامه ها رو با اين انجام داد و براي مکالمه يک گوشي خيلي ارزان قيمت خريد واقعا يک دستگاه بي نظيره و خيلي زيباتر از خود ايفون 5 هست.,2,Positive
طراحي زيبا 3.,1,Positive
مطمئن باشید هرگز از سطوحی که به آن متصل شده است،  جدا نخواهد شد.,1,Positive
نور صفحه هم خيلي خوب نيست زير آفتاب ,-1,Negative
شارژدهي باتري مناسب است.,1,Positive
"عاليه

",2,Positive
"حالا هم که در خدمتتون هستم واقعا از گوشي راضي‌ام ، اگر بخوام مقايسه کنم سرعت تاچ ويز و کاربردي‌تر بودنش خيلي بهتر از سادگي سوني هست همه چيز هم جلوي دست آدمه

گوشي من سري G نيست و ساخت چين .",2,Positive
همانند اکثر گوشی‌های خانواده Xperia،  بلندگوی Xperia ray کیفیت بسیار خوبی دارد و از نقاط قوت اصلی آن محسوب می‌شود.,1,Positive
و در کل حس مثبت و خوبي بهش دارم .,1,Positive
تنها مشکلي که در مورد نخريدن اين تبلت باهاش مواجه بودم،  نداشتن gprs و edge روي اين تبلت بود.,-1,Negative
"سلام دوستان

من اين گوشي را 10 روزه خريدم

آندرويد 4 داره

واي فاي هم بعد از 10 روز استفاده از کار افتاد و با سيم کارت کار نميکنه ( آپديت هم نکرده بودم )

باتريش ضعيفه هرچند هر گوشي ديگه اي در اين رده با اين صفحه نمايش بزرگ و سي پي يو زياد باتريش بيشتر از 1 روز جواب نميده و انتظار بيشتر از 1 روز را از اين قبيل گوشي ها نداشته باشيد.",-1,Negative
دوربين خوبي است و قيمت آن مناسب مي باشد.,1,Positive
در کل مشکل خاصي نداره و خيلي کار با اين گوشي لذت بخشه.,1,Positive
"پر سرعت

",1,Positive
"دوربينش هم که عالي



صفحه ي نمايشي که در اين گوشي استفاده کردند از نوع LED-Backlit lcd هست که اين صفحه با رزولوشن اچ دي روي  اين صفحه قرار گرفته که بنظر من مناسب ترين سايز صفحه و بهترين تناسب بين سايز و رزولوشن هست رنگهاي مشاهده شده از نمايشگر اين گوشي هم زنده و لذت بخش هستن با توجه به اينکه اسمارت فون قبليم گلکسي اس 2 بود و جز بهترين صفحه ها بود فکر ميکردم صفحه ي اين گوشي خيلي بد باشه ولي اينطور نبود واقعا کم نداشت از گلکسي به جز چند مورد نا محسوس .",1,Positive
در کل،  عملکرد صفحه نمایش MediaPad 10 به واقع ما را خشنود نمود.,1,Positive
آيفون5 با صفحه ي رتينا با دقت 640*1136 16:9شايد آن چيزي نبوده که هواداران اپل انتظارش را مي کشيدند؛آيفون جديد با بهره گيري از چيپ A6جديد اپل با دوبرابر سرعت بيشتر نسبت 4s با چيپست A5 800MHz عملکردي بهتر از S2سامسونگ 1.2MHzدارد، استفاده کرده است که مي تواند رضايت شما را تا حد زيادي نسبت به اين مورد جلب کند.,1,Positive
اما با وجود ابعاد بزرگ این گوشی،  وجود یک صفحه نمایش 4.3 اینچی بر روی آن مقداری نا امید کننده است.,-1,Negative
استقامتشم خوبه وقتي تو دست ميگيريش کيفيت ساخت رو حس ميکني اگر دنبال يه هارد بي دردسر ميگردين از لحاظ اندازه و سرعت و استقامت اين عاليه.,2,Positive
در مجمو ع من به اين دوربين بيشتر از 3 امتياز از 10 نميدهم و به نظر من اصلا ارزش اين قيمت را ندارد و با اين قيمت شما دوربينهاي بهتري ميتوانيد بخريد.,-1,Negative
دوربينش اونقدر که ميگن ضعيف نيست به نظر من خوبه خلاصه سرعت بالايي داره در خريدش شک نکنيد .,1,Positive
با دوربین فیلم‌برداری JVC مدل GZ-MG555 دیگر برای ثبت فایل‌ها بر روی DVD یا ویرایش آن‌ها مشکلی نخواهید داشت.,1,Positive
از همه لحاظ تبلت خوبيه نسبت به قيمتش.,1,Positive
اپل در گرافيک و پردازنده بي رقيبه.,1,Positive
گوشي بسيار خوبي هستش مخصوصا اينکه آپديت هم براش اومده و همونطور که دوستان گفتن بعد از آپديت هم سطح گوشي‌هاي مطرح بهتر ميشه,2,Positive
به علاوه این تبلت به طور پیش فرض از سیستم عامل اندروید 4.0 استفاده می‌کند که بسیار روان‌تر و بهینه تر از نسخه های پیشین است.,2,Positive
HDMI سرعت تبادل بالای مورد نیاز داده های دیجیتال وضوح بالا از چندی دستگاه را مستقیماً به تلویزیون شما ارائه می کند.,1,Positive
البته همواره حلقه ی دور لنز را بیشتر دوست داریم.,1,Positive
همه چيزش هم در حد خوبيه.,1,Positive
بديش هم ويندوزشه که اصلي نيست و وسايل جانبي نداره مثلا کيف.,-1,Negative
سرعت چاپش خيلي خوبه.,2,Positive
شگفت انگيزه نه ؟,1,Positive
من همه چيزش و چک کردم خيلي خوبه گرافيکشم خوبه بازي ها رو راحت و روان مياره,2,Positive
"کيفيت صفحه نمايشش فوق العاده است,سرعت cpu خيلي بالاست و اصلا کم نمياره,خوش دست و ظريفه و هم چنين محکم.",2,Positive
اگه باطريش خيلي خوب کار کنه  حرف نداره,1,Positive
واقعا دوربين عالي هست .,2,Positive
همچنان که با آن به راحتی می‌توانید به عکاسی زیر آب نیز بپردازید.,1,Positive
بدین ترتیب قابلیت‌های عکاسی در شب W630 بهتر از W670 است.,1,Positive
اما در مجموع، صفحه نمایش Optimus VU نیز عملکرد مناسبی را داراست.,1,Positive
با استفاده عادی از آن مانند مرورگری اینترنت،  تماشای ویدئو،  کار با آفیس،  بازی و یا گوش دادن به موزیک،  چیزی حدود یک روز این تبلت شارژدهی می‌کند که عملکرد بسیار مناسبیست.,2,Positive
سامسونگ به کمک سنسور شتاب سنج،  بعضی کنترل های حرکتی جالب را برای این گوشی در نظر گرفته است.,1,Positive
يکي از پرچم داران بازار در زمينه صفحه نمايش بي شک infinity tf700 است و اين شاخص ترين آيتمي است که کاربريه تبلت را معني مي بخشد.,1,Positive
علاقمندان به فيلم برداري حالا مي توانند به راحتي تصاوير تمام HD کاملا سينمايي و با کيفيت صداي فوق العاده داشته باشند.,2,Positive
من حدود 2 سال هست که دارم ازش استفاده ميکنم،  خيلي ازش راضي هستم.,2,Positive
حالا می‌توانید از تمام برنامه های دلخواه خود در تلویزیون یا از دور لذت ببرید.,1,Positive
هر کاري هم کردم که اين مشکل رو برطرف کنم متاسفانه نتونستم.,-1,Negative
ايده آل ترين دوربين حال حاضر بازار  در رنج 2 ميليون تومان کيفيت فوق العاده باور نکردني که جناب آقاي مهندس حامد صلاحي نمونه فيلمبرداري ون رو در سايت شخصيشون قرار دادن لطفاٌ زير بار قيمت هايي که شرکت ها دارن مي دن نرين چون تا يکي دو ماه آينده با ورود انبوه به بازار قيمت ها شکسته خواهد شد ,2,Positive
بي انصافيه اگه طراحي ظريف، دقيق و زيبا در عين حال مستحکم و متفاوت اين گوشي رو ناديده گرفت.,1,Positive
نازکي و سبکي عالي٢.,2,Positive
من حدود 20 روزه که اين گوشي رو خريدم باورتون نميشه چقدر اين گوشي خوبه دقيقا ميتونم به جد بگم که بهترين مزيتش صفحه نمايش فوق العاده با کيفيتشه من s3 هم داشتم از نظر من هيچ فرقي ندارن تازه اين گوشي 2 سيمکارتست,2,Positive
به هر صورت ویدیوها و عکس های گرفته شده با این دوربین کیفیت بسیار بالایی دارند و صدا هم با کیفیتی بسیار خوب،  به صورت استریو و بهتر از مدل های پیشین ضبط می شود.,2,Positive
ولي به نظر من يکي از کار هاي خوبي که کره اي ها در سامسونگ انجام دادن توليد همين گوشي بود.,1,Positive
من دوربين خريدم راضي هستم,1,Positive
فيلم برداري قابل قبولي هم داره.,1,Positive
تنها عيبي که داره ..,-1,Negative
با چنین پردازنده قدرتمندی،  اصلا جای تعجب نبود که تجربه کاری فوق العاده روانی حاصل شود.,2,Positive
به هر صورت همان‌طور که گفتیم،  F660 دوربین کامپکت سوپر زوم بسیار خوبیست که از ویژگی‌ها و فن آوری های خیلی پیشرفته و خوبی بهره می‌برد.,2,Positive
حافظه داخلي گوشي کمه.,-1,Negative
