sentence,sentiment
"با سلام؛  این گوشی رو باتوجه به ساده بودنش برای مادرم خریدم اما فونت ریز وناخوانای اون حسابی حالم و گرفت(ازاون چیزی که در عکس میبینید بدتره)وعملا شده یک گوشی بدون صفحه.  عیب بعدی این گوشی اینه که وقتی زنگ میخوره فقط میتونی جواب بدی و کلید MUTE برای قطع کردن زنگ نداره حتی کلید ردتماس هم نداره که بتونی تماس رو ردکنی.  یه مورد دیگه که میتونست داشته باشه ولی نداره قابلیت مفید"" تماس سریع"" هست که نداره.  این گوشی دقیقا اندازه یک کف دست هست.خدائیش خوشگله.کیفیت ساختش مناسبه. کلید هاش نرم و محکمه اما چون نور زمینه نداره یه جوری بنظر میرسه.اگر کلید ها لق باشه موقع مکالمه و حین حرکت تکون میخوره وصداشون میره اون طرف(اینو از رو تجربه میگم).  برد داخلی بیسیم این گوشی دقیقا 25 متر هست که بنظرم خوبه.کل خونه رو پوشش میده.تداخل وای فای هم نداره.  بلندگوی دیجیتال این مدل کیفیت خوبی داره که بنظرم در گوشی های بیسیم باید ""حتما"" وجود داشته باشه اینو از روی تجربه میگم.  واما مهمترین دلیلی که عیب های بالا رو نادیده گرفتم واز گوشی راضی هستم کیفیت خوب و مطلوب مکالمه هست.چیزی که در تلفن های بسیم مرسوم نیست و بعضآ کاربران زیادی از کیفیت مکالمه اعتراض دارند حتی در مدل های گران قیمت.واین بنظرم مهمترین خصوصیت این تلفن هست که اصلا نمیشه از کنارش گذشت. تلفن های بیسیم بخاطر مدار فرستنده وگیرنده ای که دارند زیاد نویز تولید میکنند که میتونه در کیفیت صدا تاثیر بذاره اما به این مدل از گیگاست من نمره 80 از 100 میدم.  درپایان این گوشی رو به کسانی توصیه میکنم که  امکانات جانبی براشون اصلا اهمیت نداره وفقط روی کیفیت مکالمه وسواس دارندبدون شک این راضی شون میکنه.اما اگر معایب بالا رو مهم میدونید باید از خیرش بگذرید.ضمن اینکه نباید فراموش کنید که شما دارید ""گیــــگاســــــت"" میخرید.",2
لطفا این پرینتر و موجود کنید,1
لطفا این دوچرخه را موجود کنید,1
با سلام خدمت دوستان و سروران گرامی:  دوستان من نزدیک 6 ماهیه از این مموری روی  گوشی Sony Xperia T استفاده میکنم حرف نداره در خریدنش شک نکنید,0
با سلام دیروز به دستم رسید ترسیدم تمامشه زود خریدم خیلی باحاله حرف نداره ای کاش تو پیشنهاد ویژه بزنن,0
لطفا سفیدشو موجود کنید,1
سلام واقعا کیفیتش خوبه من فیلم time scapes که با کیفیت فول اچدی بودش رو توش دیدم واقعا عالی بود  تو خریدش شک نکنید,0
با عرض سلام و تبریک سال نو خدمت کلیه عزیزان من دو هفته هست که دو تا از این تبلت خریدم نسبت به قیمتش فوق العاده عالی و با کیفیت و تا حالا مشکلی نداشتم  با تشکر,0
هه هه هه کناره هاش شبیه ایفونه از لحاظ ظاهر که حرف نداره,0
من مارک3 رو فقط واسه فیلم برداری میخوام ولی یه کم تحقیق کردم دیدم دوربین Blackmagic Design Production Camera 4K با کیفیت بالاتر تو سایت آمازون تقریبا همین قیمته چجوریه نمیدونم ریسک کنم بخرم یا اصلا تو ایران هست کسی کار کرده از تجربش بگه(مثلا فیلماش با یه سیستم تدوین معمولی رو به بالا قابل تدوینه) لطفا کمک کنید,0
لطفا پیشنهاد ویژه قرارش بدید تا بخرمش,1
سلام وخسته نباشی دوستان عزیزم. خب من تا الان 7 ماه هست که گوشی  galaxy s7 دارم قبلا دوسال پیش از s6استفاده میکردم که خیلی آزار دهنده بود s6 گوشی galaxy s6من خیلی هنگ میکرد و باطریش واقعا آزار دهنده بود .و این گوشی galaxy s6واقعا بدترین گوشی 2015 سامسونگ بود .صد رحمت به s5واقعا s5خب .واما از گوشی  galaxy s7که خیلی عاشقشم عزیزمه یک گوشی بروز و همه چی تموم این گوشی من تا الان که خیلی استفاده میکنم بهش هنگی ندیدم آزارم بده .این گوشی اندورید 7 امده که خیلی خبه حتما گوشی s7نتون را اپدیت کنید .و این گوشی خیلی قابلیت های زیادی داره که خودم عاشقش شدم.,0
اسپیکر خوبیه.چون ظرافت هم داره خودش یه جور ویترینه توی خونه.  البته از این ظاهر من یکم توقع صدای بیشتری داشتم ولی الانم خیلی خوبه,0
امروز به دستم رسید. فوقالعاده زیباست.طراحی قرار رگفتن گوشی و لوازم داخل کارتن خیلی باسلیقه انجام شده. اولین بار که گوشی رو دستت میگیری حس برتری در ساخت و طراحی فوق العاده رو بهتون القا میکنه.سنسور اثر انگشت فوق سریع و دقیق . در خریدش شک نکنید. من رنگ مشکی گرفتم .واقعا زیبا و دوست داشتنیه. نکته آخر اینکه گلس صفحه و قاب محتفظ رو از دیجی کالا بخرید چون توی بازار شهرستانها پیدا نمیشه.,0
سلام.  اول باید بگم که یکی از دوستان گفت بود که کارایی الجی به سامسونگ نمی رسه  اما من وقتی این دو رو کنار هم میگذارم اصلا اینطوری نیست.الجی خیلی سرتره.  درمورد سخت افزار گوشی باید بگم که از a5هم بهتره چون یک بازی رو تو هر دو ریختم و این گوشی بهتر اجرا می کرد و اون با لگ بیشتر .,0
از خریدش واقعا پشیمونم,2
سلام دوستان من الان دو روزه  که این گوشی رو خریدم از همه نظر عالیه  ولی خیلی خیلی خیلی زود باتری خالی می کنه و برای کسانی که ملاک خرید گوشی برایشان باتری است گزینه ی خوبی نیست.  راستی دوستان راه چاره ای هم برای بهبود باتری هست؟؟!!.,1
دوستان من فقط میخوام مشکلات جزئی این لپ تاپ و راه حلشون رو بگم  واقعا لپ تاپ عالی و قدرتمندو زیباییه و من بعد سه ماه استفاده کاملا ازش راضیم  فقط مشکلات کوچکش رو باید با وسایل جانبی حل کنیم  1خیلی داغ میشه و دست رو اذیت میکنه(داغ میشه هنگ نمیکنه)  راه حل :کول پد  2جای پورت کمی داره و آدم نمیتونه بیشتر از سه تا فلش رو بهش وصل کنه(تازه اگه موس و درایو نوری و کول پد وصل نباشه و اگه اینارو هم وصل کنیم جایی برای استفاده نمیمونه)  راه حل :هاب (بهترین راه حل: کول پد هاب دار)  3پشت لپ تاپ و ال سی دی چربی دیت رو خیلی زیاد جذب میکنهبه طوری که من میتونم تمام شیار های انگشتم رو بعد لمس کردن پشت لپ تاپ ببینم  راه حل: وسواستون رو کنار بگذارید  قدرت لپ تاپ خیلی بالاست به طوری که من بازی هایی مثل watch dogs 2 و  assassins creed syndicate رو بدون هیچ مشکلی رو بالا ترین گرافیک اجرا کردم    رزولوشن 4k داره (مطمئن نیستم)  خلاصه اگه پولشو دارید تو خریدش شک نکنید,0
اینو واقعا دوست دارم. خیلی حس خوبی بهم دست میده وقتی توی دستامه.,0
من بیش از 1 ساله این لپ تاپ رو دارم و حسابی هم ازش کار کشیدم   اگه روش ویندوز 8 یا 8.1 نصب کنید کاملا متوجه میشید لپ تاپ خیلی خوبی هستش  من راضیم ازش زیاد,0
از خریدم خیلی راضیم.,2
